code_ies,name_ies,initials,county,state,academic_organization,category,url
2581,FACULDADE SÃO SALVADOR (FSS),FSS,Salvador,BA,Faculdade,Privada,www.saosalvador.edu.br
3774,FACULDADE SÃO TOMAZ DE AQUINO (FSTA),FSTA,Salvador,BA,Faculdade,Privada,www.saotomazdeaquino.edu.br
17758,Faculdades FAMEP Unidade Euclides da Cunha - BA (FAMEP),FAMEP,Euclides da Cunha,BA,Faculdade,Privada,www.famep.com.br
22521,FACULDADES FAMEP Unidade Irará - BA (FAMEP),FAMEP,Irará,BA,Faculdade,Privada,www.famep.com.br
2632,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA (UNESULBAHIA),UNESULBAHIA,Eunápolis,BA,Faculdade,Privada,www.unesulbahia.com.br
3609,FACULDADES INTEGRADAS IPITANGA (FACIIP),FACIIP,Lauro de Freitas,BA,Faculdade,Privada,www.faciip.com.br
22104,Faculdades Integradas Padrão (FIP GUANAMBI),FIP GUANAMBI,Guanambi,BA,Faculdade,Privada,www.fip-gbi.edu.br
20605,Faculdades Sulamérica Bahia,-,Luís Eduardo Magalhães,BA,Faculdade,Privada,https://sulamericafaculdade.com.br/
21226,FACULDADE SUDOESTE (FASU),FASU,Vitória da Conquista,BA,Faculdade,Privada,http://fasu.com.br/
12749,"FACULDADES UNIDAS DE PESQUISA, CIÊNCIAS E SAÚDE LTDA (FAPEC)",FAPEC,Jequié,BA,Faculdade,Privada,www.faculdadefapec.com.br
3365,FACULDADE UNIBRAS DA BAHIA (FACBRAS),FACBRAS,Juazeiro,BA,Faculdade,Privada,faculdadeunibras.com.br/juazeiro
